"id","tSNE1","tSNE2","Dark1.x","Dark2.x","Dark3.x","Blue1.x","Blue2.x","Blue3.x","degs","Cluster","SignalP","tmhmm","SwissProt_ID","SwissProt_Description","Blue1.y","Blue2.y","Blue3.y","Dark1.y","Dark2.y","Dark3.y","Yellow1","Yellow2","Yellow3","query_ko","pathway_count","level1_pathway_id","level1_pathway_name","level2_pathway_id","level2_pathway_name","level3_pathway_id","level3_pathway_name","ko","ko_name","ko_des","ec"
"g_00135",-39.7260460718034,6.36892489918637,1.2972062954172,1.37257232917542,1.54161479723204,1.62023990871529,1.97707615671473,1.93801618714242,"Blue_vs_Dark","Cluster 7",0,0,"Q48KA6.1","RecName: Full=UvrABC system protein B; Short=Protein UvrB; AltName: Full=Excinuclease ABC subunit B",40.709973,93.858479,85.699419,18.824685,22.581549,33.802849,28.683023,21.353195,20.598564,"K03702",2,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3400,"DNA repair and recombination proteins","K03702","uvrB","excinuclease ABC subunit B","-"
"g_00135",-39.7260460718034,6.36892489918637,1.2972062954172,1.37257232917542,1.54161479723204,1.62023990871529,1.97707615671473,1.93801618714242,"Blue_vs_Dark","Cluster 7",0,0,"Q48KA6.1","RecName: Full=UvrABC system protein B; Short=Protein UvrB; AltName: Full=Excinuclease ABC subunit B",40.709973,93.858479,85.699419,18.824685,22.581549,33.802849,28.683023,21.353195,20.598564,"K03702",2,9120,"Genetic Information Processing",9124,"Replication and repair",3420,"Nucleotide excision repair","K03702","uvrB","excinuclease ABC subunit B","-"
"g_00542",-4.54698470629018,10.2751686422039,0.532029228091235,0.578443905427412,0.542541985334915,1.2076564988811,1.39287650657637,1.24596047577903,"Blue_vs_Dark","Cluster 7",0,0,"Q55790.1","RecName: Full=UPF0051 protein slr0074",15.130822,23.710214,16.618157,2.404311,2.788296,2.487723,1.064388,2.459093,1.59424,"K09014",1,9190,"Not Included in Pathway or Brite",9194,"Poorly characterized",99996,"General function prediction only","K09014","sufB","Fe-S cluster assembly protein SufB","-"
"g_00675",-43.1811221283831,7.51489000122575,1.46660106258863,1.3446963305706,1.36617338568542,1.86836359591376,2.36593640197505,2.24336191902345,"Blue_vs_Dark","Cluster 7",0,0,"A0LYR8.1","RecName: Full=Protein translocase subunit SecA",72.852227,231.239668,174.130553,28.282022,21.115478,22.236643,28.372701,34.760966,24.141262,"K03070",4,9130,"Environmental Information Processing",9131,"Membrane transport",3070,"Bacterial secretion system","K03070","secA","preprotein translocase subunit SecA","[EC:7.4.2.8]"
"g_00675",-43.1811221283831,7.51489000122575,1.46660106258863,1.3446963305706,1.36617338568542,1.86836359591376,2.36593640197505,2.24336191902345,"Blue_vs_Dark","Cluster 7",0,0,"A0LYR8.1","RecName: Full=Protein translocase subunit SecA",72.852227,231.239668,174.130553,28.282022,21.115478,22.236643,28.372701,34.760966,24.141262,"K03070",4,9140,"Cellular Processes",9145,"Cellular community - prokaryotes",2024,"Quorum sensing","K03070","secA","preprotein translocase subunit SecA","[EC:7.4.2.8]"
"g_00675",-43.1811221283831,7.51489000122575,1.46660106258863,1.3446963305706,1.36617338568542,1.86836359591376,2.36593640197505,2.24336191902345,"Blue_vs_Dark","Cluster 7",0,0,"A0LYR8.1","RecName: Full=Protein translocase subunit SecA",72.852227,231.239668,174.130553,28.282022,21.115478,22.236643,28.372701,34.760966,24.141262,"K03070",4,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2044,"Secretion system","K03070","secA","preprotein translocase subunit SecA","[EC:7.4.2.8]"
"g_00675",-43.1811221283831,7.51489000122575,1.46660106258863,1.3446963305706,1.36617338568542,1.86836359591376,2.36593640197505,2.24336191902345,"Blue_vs_Dark","Cluster 7",0,0,"A0LYR8.1","RecName: Full=Protein translocase subunit SecA",72.852227,231.239668,174.130553,28.282022,21.115478,22.236643,28.372701,34.760966,24.141262,"K03070",4,9120,"Genetic Information Processing",9123,"Folding, sorting and degradation",3060,"Protein export","K03070","secA","preprotein translocase subunit SecA","[EC:7.4.2.8]"
"g_00732",-29.4487471313852,14.133505863136,0.806498995368488,0.918229919516918,0.685175802197516,1.25553174977271,1.72105018173872,1.61423410527145,"Blue_vs_Dark","Cluster 7",0,0,"O51066.1","RecName: Full=DNA topoisomerase 4 subunit A; AltName: Full=Topoisomerase IV subunit A",17.010748,51.607805,40.137141,5.404703,7.283806,3.843684,2.691949,5.192216,3.392267,"K02621",3,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3032,"DNA replication proteins","K02621","parC","topoisomerase IV subunit A","[EC:5.6.2.2]"
"g_00732",-29.4487471313852,14.133505863136,0.806498995368488,0.918229919516918,0.685175802197516,1.25553174977271,1.72105018173872,1.61423410527145,"Blue_vs_Dark","Cluster 7",0,0,"O51066.1","RecName: Full=DNA topoisomerase 4 subunit A; AltName: Full=Topoisomerase IV subunit A",17.010748,51.607805,40.137141,5.404703,7.283806,3.843684,2.691949,5.192216,3.392267,"K02621",3,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3036,"Chromosome and associated proteins","K02621","parC","topoisomerase IV subunit A","[EC:5.6.2.2]"
"g_00732",-29.4487471313852,14.133505863136,0.806498995368488,0.918229919516918,0.685175802197516,1.25553174977271,1.72105018173872,1.61423410527145,"Blue_vs_Dark","Cluster 7",0,0,"O51066.1","RecName: Full=DNA topoisomerase 4 subunit A; AltName: Full=Topoisomerase IV subunit A",17.010748,51.607805,40.137141,5.404703,7.283806,3.843684,2.691949,5.192216,3.392267,"K02621",3,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2048,"Prokaryotic defense system","K02621","parC","topoisomerase IV subunit A","[EC:5.6.2.2]"
